url,owner_id,project_name,image_count,
https://api.github.com/repos/circleci/frontend,84389,frontend,1,Make it easy for contributors to setup
https://api.github.com/repos/hawkular/hawkular-alerts,6648535,hawkular-alerts,1,
https://api.github.com/repos/gmr/consulate,140928,consulate,1,
https://api.github.com/repos/stefannaglee/docker-registry-manager,6948988,docker-registry-manager,1,They provide different mechanisms including docker-compose and docker to run their applicatoin
https://api.github.com/repos/ypereirareis/ypereirareis.github.io,3504450,ypereirareis.github.io,1,
https://api.github.com/repos/hhpack/performance,10101916,performance,1,
https://api.github.com/repos/ryerh/ryerh.github.io,2838502,ryerh.github.io,1,
https://api.github.com/repos/mattherman/MbDotNet,6899782,MbDotNet,1,use docker-compose `` to bring up […] container''
https://api.github.com/repos/mangrep/ifsc-rest-api,10225701,ifsc-rest-api,1,
https://api.github.com/repos/lsu-ub-uu/cora-therest,10266959,cora-therest,1,To simplify the creation and the stop of images. A good example is shown in a commit https://github.com/lsu-ub-uu/cora-therest/commit/a5e6af650710a6b082f060ab759fe13bd8f1ab42#diff-423deb13b7c401b1a7f41ee91c77f722e11d2f317d6a66b546524e8a04cc8b03
https://api.github.com/repos/czechboy0/Redbird,1573127,Redbird,1,add docker compose for testing
https://api.github.com/repos/smartystreets/smartystreets-java-sdk,55453,smartystreets-java-sdk,1,
https://api.github.com/repos/visionappscz/synergic-ui,5069564,synergic-ui,1,
https://api.github.com/repos/pseudomuto/dotfiles,2148154,dotfiles,1,
https://api.github.com/repos/batandwa/just-the-video,960998,just-the-video,1,
https://api.github.com/repos/policygenius/athenaeum,3197792,athenaeum,1,
https://api.github.com/repos/luismayta/resume,21051,resume,1,
https://api.github.com/repos/jterral/grim-app,10085246,grim-app,1,
https://api.github.com/repos/OSSHealth/ghdata,32925466,ghdata,1,
https://api.github.com/repos/monitoringartist/grafana-xxl,8730042,grafana-xxl,1,
https://api.github.com/repos/bitrise-docker/android-ndk,10373931,android-ndk,1,"""A docker-compose.yml is also included, configured for quick testing."""
https://api.github.com/repos/lambci/lambci,8215363,lambci,1,"""Move to Docker compose for better reproducability"". Instead of runing this command: ""docker build -t lambci/lambci -f ../Dockerfile docker"", you run just this one "" docker-compose build"""
https://api.github.com/repos/mobileek/mobileek.github.io,11836795,mobileek.github.io,1,"Simplifying the construction of docker. Instead of executing this command ""docker run --rm --label=jekyll -v ""$(pwd)"":/srv/jekyll  -it -p 4000:4000 jekyll/jekyll jekyll --config _config.dev.yml serve --watch --incremental"", they codified everything inside docker-compose file "
https://api.github.com/repos/ThoughtWorksTurkey/marketwatcher.io,13317662,marketwatcher.io,1,
https://api.github.com/repos/WeAreFrancis/auth-service,34654777,auth-service,1,
https://api.github.com/repos/kaisalmen/WWOBJLoader,30570643,WWOBJLoader,1,"""If you have docker & docker-compose available there is no need to install any software stacks"""
https://api.github.com/repos/adaptive-learning/proso-apps,5970145,proso-apps,1,
https://api.github.com/repos/Illedan/PartyfyYou,1765415,PartyfyYou,1,
https://api.github.com/repos/ytakano/lunarlang,554997,lunarlang,1,
https://api.github.com/repos/kennethreitz/pipenv,796,pipenv,1,they use docker-compose just for test. So in a makefile they just invoke docker-compose build and docker-compose up for the testing
https://api.github.com/repos/faithworkcamps/faithworkcamps.github.io,37337837,faithworkcamps.github.io,1,Docker quick start
